state,fitted_length,nfish,sumnfish,fitted_prob,observed_prob,_merge,p_star,below,above,sum_below,sum_above,first,cdf_star,pstar_all,prob_below_adj,prob_above_adj,prob_star,sum_prob_f
DE,8.5,9637,200616,.048623338,0,Master only (1),,,1,,.97524685,,,.02475315,0,.048623338,.048623338,1
DE,9,13953,200616,.070399649,.083584495,Matched (3),,,1,,.97524685,,,.02475315,0,.070399649,.070399649,1
DE,9.5,18342,200616,.09254428,0,Master only (1),,,1,,.97524685,,,.02475315,0,.09254428,.09254428,1
DE,10,21188,200616,.10690373,.19090699,Matched (3),,,1,,.97524685,,,.02475315,0,.10690373,.10690373,1
DE,10.5,23057,200616,.11633375,0,Master only (1),,,1,,.97524685,,,.02475315,0,.11633375,.11633375,1
DE,11,22378,200616,.11290786,.22812289,Matched (3),,,1,,.97524685,,,.02475315,0,.11290786,.11290786,1
DE,11.5,20404,200616,.10294808,0,Master only (1),,,1,,.97524685,,,.02475315,0,.10294808,.10294808,1
DE,12,17237,200616,.086969025,.27179444,Matched (3),,,1,,.97524685,,,.02475315,0,.086969025,.086969025,1
DE,12.5,13697,200616,.069108009,0,Master only (1),,,1,,.97524685,,,.02475315,0,.069108009,.069108009,1
DE,13,10283,200616,.051882725,.096431546,Matched (3),,,1,,.97524685,,,.02475315,0,.051882725,.051882725,1
DE,13.5,7416,200616,.037417319,0,Master only (1),,,1,,.97524685,,,.02475315,0,.037417319,.037417319,1
DE,14,4858,200616,.024510967,.020753711,Matched (3),,,1,,.97524685,,,.02475315,0,.024510967,.024510967,1
DE,14.5,3188,200616,.016085004,0,Master only (1),,,1,,.97524685,,,.02475315,0,.016085004,.016085004,1
DE,15,1877,200616,.0094703753,.016572721,Matched (3),,,1,,.97524685,,,.02475315,0,.0094703753,.0094703753,1
MA,2.5,4,6079429,6.5795723e-07,0,Master only (1),,1,,.36100945,,1,6.5795723e-07,.67000002,6.5795723e-07,0,6.5795763e-07,1
MA,3,23,6079429,3.7832540e-06,.00062757189,Matched (3),,1,,.36100945,,,,.67000002,7.0213682e-06,0,7.0213723e-06,1
MA,3.5,239,6079429,.000039312941,0,Master only (1),,1,,.36100945,,,,.67000002,.000072961171,0,.000072961215,1
MA,4,1400,6079429,.00023028502,.0016316868,Matched (3),,1,,.36100945,,,,.67000002,.00042738763,0,.00042738789,1
MA,4.5,5821,6079429,.00095749222,0,Master only (1),,1,,.36100945,,,,.67000002,.0017770167,0,.0017770177,1
MA,5,18662,6079429,.0030696993,.0040817154,Matched (3),,1,,.36100945,,,,.67000002,.0056970767,0,.0056970799,1
MA,5.5,48540,6079429,.0079843113,0,Master only (1),,1,,.36100945,,,,.67000002,.01481814,0,.014818149,1
MA,6,102791,6079429,.01690802,.012349045,Matched (3),,1,,.36100945,,,,.67000002,.031379715,0,.031379733,1
MA,6.5,186901,6079429,.030743215,0,Master only (1),,1,,.36100945,,,,.67000002,.057056554,0,.057056587,1
MA,7,294070,6079429,.048371367,.11165817,Matched (3),,1,,.36100945,,,,.67000002,.089772768,0,.08977282,1
MA,7.5,414037,6079429,.068104655,0,Master only (1),,1,,.36100945,,,,.67000002,.12639591,0,.12639599,1
MA,8,520999,6079429,.085698761,.1746496,Matched (3),,1,,.36100945,,,,.67000002,.15904894,0,.15904903,1
MA,8.5,601242,6079429,.098897874,0,Master only (1),.67000002,1,,.36100945,,,,.67000002,.18354528,0,.18354538,1
MA,9,637843,6079429,.10491835,.24128653,Matched (3),,,1,,.63899058,,,.67000002,0,.054183979,.054184012,1
MA,9.5,631268,6079429,.10383683,0,Master only (1),,,1,,.63899058,,,.67000002,0,.053625438,.053625472,1
MA,10,582390,6079429,.09579692,.1974003,Matched (3),,,1,,.63899058,,,.67000002,0,.049473315,.049473345,1
MA,10.5,507601,6079429,.083494931,0,Master only (1),,,1,,.63899058,,,.67000002,0,.043120082,.043120109,1
MA,11,419338,6079429,.068976611,.11404955,Matched (3),,,1,,.63899058,,,.67000002,0,.035622247,.035622269,1
MA,11.5,330675,6079429,.054392498,0,Master only (1),,,1,,.63899058,,,.67000002,0,.028090434,.028090451,1
MA,12,248197,6079429,.040825751,.062786415,Matched (3),,,1,,.63899058,,,.67000002,0,.021084031,.021084044,1
MA,12.5,179709,6079429,.029560206,0,Master only (1),,,1,,.63899058,,,.67000002,0,.015266059,.015266068,1
MA,13,124503,6079429,.020479411,.043954074,Matched (3),,,1,,.63899058,,,.67000002,0,.010576377,.010576383,1
MA,13.5,83854,6079429,.013793086,0,Master only (1),,,1,,.63899058,,,.67000002,0,.0071232943,.0071232985,1
MA,14,54522,6079429,.0089682862,.01906986,Matched (3),,,1,,.63899058,,,.67000002,0,.0046315775,.0046315803,1
MA,14.5,34456,6079429,.0056676432,0,Master only (1),,,1,,.63899058,,,.67000002,0,.0029269948,.0029269964,1
MA,15,21241,6079429,.0034939172,.0063710422,Matched (3),,,1,,.63899058,,,.67000002,0,.0018043969,.0018043979,1
MA,15.5,12660,6079429,.0020824345,0,Master only (1),,,1,,.63899058,,,.67000002,0,.0010754515,.0010754522,1
MA,16,7318,6079429,.0012037327,.0049996609,Matched (3),,,1,,.63899058,,,.67000002,0,.00062165514,.00062165549,1
MA,16.5,4071,6079429,.00066963595,0,Master only (1),,,1,,.63899058,,,.67000002,0,.00034582647,.00034582667,1
MA,17,2363,6079429,.00038868823,.0027762544,Matched (3),,,1,,.63899058,,,.67000002,0,.00020073396,.00020073408,1
MA,17.5,1313,6079429,.00021597445,0,Master only (1),,,1,,.63899058,,,.67000002,0,.00011153774,.0001115378,1
MA,18,672,6079429,.00011053681,.00054087414,Matched (3),,,1,,.63899058,,,.67000002,0,.000057085574,.000057085606,1
MA,18.5,345,6079429,.00005674881,0,Master only (1),,,1,,.63899058,,,.67000002,0,.000029307328,.000029307346,1
MA,19,186,6079429,.000030595013,.0011296294,Matched (3),,,1,,.63899058,,,.67000002,0,.000015800473,.000015800482,1
MA,19.5,92,6079429,.000015133016,0,Master only (1),,,1,,.63899058,,,.67000002,0,7.8152871e-06,7.8152916e-06,1
MA,20,44,6079429,7.2375292e-06,.00051245774,Matched (3),,,1,,.63899058,,,.67000002,0,3.7377461e-06,3.7377483e-06,1
MA,20.5,19,6079429,3.1252966e-06,0,Master only (1),,,1,,.63899058,,,.67000002,0,1.6140267e-06,1.6140276e-06,1
MA,21,14,6079429,2.3028501e-06,.000062757186,Matched (3),,,1,,.63899058,,,.67000002,0,1.1892828e-06,1.1892835e-06,1
MD,5,5,200616,.000025227424,.0032853324,Matched (3),,1,,.02475315,,1,.000025227424,.02475315,.000025227424,0,.000025227424,1
MD,5.5,32,200616,.00016145551,0,Master only (1),,1,,.02475315,,,,.02475315,.00016145551,0,.00016145551,1
MD,6,137,200616,.00069123146,.010358048,Matched (3),,1,,.02475315,,,,.02475315,.00069123146,0,.00069123146,1
MD,6.5,479,200616,.0024167874,0,Master only (1),,1,,.02475315,,,,.02475315,.0024167874,0,.0024167874,1
MD,7,1293,200616,.0065238122,.01207072,Matched (3),,1,,.02475315,,,,.02475315,.0065238122,0,.0065238122,1
MD,7.5,2960,200616,.014934636,0,Master only (1),.02475315,1,,.02475315,,,,.02475315,.014934636,0,.014934636,1
MD,8,5776,200616,.029142722,.065899447,Matched (3),,,1,,.97524685,,,.02475315,0,.029142722,.029142722,1
MD,8.5,9637,200616,.048623338,0,Master only (1),,,1,,.97524685,,,.02475315,0,.048623338,.048623338,1
MD,9,13953,200616,.070399649,.083584495,Matched (3),,,1,,.97524685,,,.02475315,0,.070399649,.070399649,1
MD,9.5,18342,200616,.09254428,0,Master only (1),,,1,,.97524685,,,.02475315,0,.09254428,.09254428,1
MD,10,21188,200616,.10690373,.19090699,Matched (3),,,1,,.97524685,,,.02475315,0,.10690373,.10690373,1
MD,10.5,23057,200616,.11633375,0,Master only (1),,,1,,.97524685,,,.02475315,0,.11633375,.11633375,1
MD,11,22378,200616,.11290786,.22812289,Matched (3),,,1,,.97524685,,,.02475315,0,.11290786,.11290786,1
MD,11.5,20404,200616,.10294808,0,Master only (1),,,1,,.97524685,,,.02475315,0,.10294808,.10294808,1
MD,12,17237,200616,.086969025,.27179444,Matched (3),,,1,,.97524685,,,.02475315,0,.086969025,.086969025,1
MD,12.5,13697,200616,.069108009,0,Master only (1),,,1,,.97524685,,,.02475315,0,.069108009,.069108009,1
MD,13,10283,200616,.051882725,.096431546,Matched (3),,,1,,.97524685,,,.02475315,0,.051882725,.051882725,1
MD,13.5,7416,200616,.037417319,0,Master only (1),,,1,,.97524685,,,.02475315,0,.037417319,.037417319,1
MD,14,4858,200616,.024510967,.020753711,Matched (3),,,1,,.97524685,,,.02475315,0,.024510967,.024510967,1
MD,14.5,3188,200616,.016085004,0,Master only (1),,,1,,.97524685,,,.02475315,0,.016085004,.016085004,1
MD,15,1877,200616,.0094703753,.016572721,Matched (3),,,1,,.97524685,,,.02475315,0,.0094703753,.0094703753,1
NC,5,5,200616,.000025227424,.0032853324,Matched (3),,1,,.02475315,,1,.000025227424,.02475315,.000025227424,0,.000025227424,1
NC,5.5,32,200616,.00016145551,0,Master only (1),,1,,.02475315,,,,.02475315,.00016145551,0,.00016145551,1
NC,6,137,200616,.00069123146,.010358048,Matched (3),,1,,.02475315,,,,.02475315,.00069123146,0,.00069123146,1
NC,6.5,479,200616,.0024167874,0,Master only (1),,1,,.02475315,,,,.02475315,.0024167874,0,.0024167874,1
NC,7,1293,200616,.0065238122,.01207072,Matched (3),,1,,.02475315,,,,.02475315,.0065238122,0,.0065238122,1
NC,7.5,2960,200616,.014934636,0,Master only (1),.02475315,1,,.02475315,,,,.02475315,.014934636,0,.014934636,1
NC,8,5776,200616,.029142722,.065899447,Matched (3),,,1,,.97524685,,,.02475315,0,.029142722,.029142722,1
NC,8.5,9637,200616,.048623338,0,Master only (1),,,1,,.97524685,,,.02475315,0,.048623338,.048623338,1
NC,9,13953,200616,.070399649,.083584495,Matched (3),,,1,,.97524685,,,.02475315,0,.070399649,.070399649,1
NC,9.5,18342,200616,.09254428,0,Master only (1),,,1,,.97524685,,,.02475315,0,.09254428,.09254428,1
NC,10,21188,200616,.10690373,.19090699,Matched (3),,,1,,.97524685,,,.02475315,0,.10690373,.10690373,1
NC,10.5,23057,200616,.11633375,0,Master only (1),,,1,,.97524685,,,.02475315,0,.11633375,.11633375,1
NC,11,22378,200616,.11290786,.22812289,Matched (3),,,1,,.97524685,,,.02475315,0,.11290786,.11290786,1
NC,11.5,20404,200616,.10294808,0,Master only (1),,,1,,.97524685,,,.02475315,0,.10294808,.10294808,1
NC,12,17237,200616,.086969025,.27179444,Matched (3),,,1,,.97524685,,,.02475315,0,.086969025,.086969025,1
NC,12.5,13697,200616,.069108009,0,Master only (1),,,1,,.97524685,,,.02475315,0,.069108009,.069108009,1
NC,13,10283,200616,.051882725,.096431546,Matched (3),,,1,,.97524685,,,.02475315,0,.051882725,.051882725,1
NC,13.5,7416,200616,.037417319,0,Master only (1),,,1,,.97524685,,,.02475315,0,.037417319,.037417319,1
NC,14,4858,200616,.024510967,.020753711,Matched (3),,,1,,.97524685,,,.02475315,0,.024510967,.024510967,1
NC,14.5,3188,200616,.016085004,0,Master only (1),,,1,,.97524685,,,.02475315,0,.016085004,.016085004,1
NC,15,1877,200616,.0094703753,.016572721,Matched (3),,,1,,.97524685,,,.02475315,0,.0094703753,.0094703753,1
NJ,5,5,200616,.000025227424,.0032853324,Matched (3),,1,,.10251921,,1,.000025227424,.045000002,.000025227424,0,.000025227066,1
NJ,5.5,32,200616,.00016145551,0,Master only (1),,1,,.10251921,,,,.045000002,.000070869624,0,.00007086862,1
NJ,6,137,200616,.00069123146,.010358048,Matched (3),,1,,.10251921,,,,.045000002,.0003034106,0,.0003034063,1
NJ,6.5,479,200616,.0024167874,0,Master only (1),,1,,.10251921,,,,.045000002,.0010608298,0,.0010608148,1
NJ,7,1293,200616,.0065238122,.01207072,Matched (3),,1,,.10251921,,,,.045000002,.0028635759,0,.0028635354,1
NJ,7.5,2960,200616,.014934636,0,Master only (1),,1,,.10251921,,,,.045000002,.0065554408,0,.0065553477,1
NJ,8,5776,200616,.029142722,.065899447,Matched (3),,1,,.10251921,,,,.045000002,.012791969,0,.012791787,1
NJ,8.5,9637,200616,.048623338,0,Master only (1),.045000002,1,,.10251921,,,,.045000002,.021342831,0,.021342527,1
NJ,9,13953,200616,.070399649,.083584495,Matched (3),,,1,,.89748079,,,.045000002,0,.074911535,.074910469,1
NJ,9.5,18342,200616,.09254428,0,Master only (1),,,1,,.89748079,,,.045000002,0,.098475412,.098474018,1
NJ,10,21188,200616,.10690373,.19090699,Matched (3),,,1,,.89748079,,,.045000002,0,.11375515,.11375353,1
NJ,10.5,23057,200616,.11633375,0,Master only (1),,,1,,.89748079,,,.045000002,0,.12378953,.12378778,1
NJ,11,22378,200616,.11290786,.22812289,Matched (3),,,1,,.89748079,,,.045000002,0,.12014408,.12014237,1
NJ,11.5,20404,200616,.10294808,0,Master only (1),,,1,,.89748079,,,.045000002,0,.10954598,.10954443,1
NJ,12,17237,200616,.086969025,.27179444,Matched (3),,,1,,.89748079,,,.045000002,0,.092542835,.092541523,1
NJ,12.5,13697,200616,.069108009,0,Master only (1),,,1,,.89748079,,,.045000002,0,.073537119,.073536076,1
NJ,13,10283,200616,.051882725,.096431546,Matched (3),,,1,,.89748079,,,.045000002,0,.055207871,.055207089,1
NJ,13.5,7416,200616,.037417319,0,Master only (1),,,1,,.89748079,,,.045000002,0,.039815381,.039814815,1
NJ,14,4858,200616,.024510967,.020753711,Matched (3),,,1,,.89748079,,,.045000002,0,.026081866,.026081495,1
NJ,14.5,3188,200616,.016085004,0,Master only (1),,,1,,.89748079,,,.045000002,0,.017115887,.017115645,1
NJ,15,1877,200616,.0094703753,.016572721,Matched (3),,,1,,.89748079,,,.045000002,0,.010077328,.010077186,1
NY,2.5,4,6079429,6.5795723e-07,0,Master only (1),,1,,.36100945,,1,6.5795723e-07,.53500003,6.5795723e-07,0,6.5795740e-07,1
NY,3,23,6079429,3.7832540e-06,.00062757189,Matched (3),,1,,.36100945,,,,.53500003,5.6066151e-06,0,5.6066169e-06,1
NY,3.5,239,6079429,.000039312941,0,Master only (1),,1,,.36100945,,,,.53500003,.000058260041,0,.000058260059,1
NY,4,1400,6079429,.00023028502,.0016316868,Matched (3),,1,,.36100945,,,,.53500003,.00034127221,0,.0003412723,1
NY,4.5,5821,6079429,.00095749222,0,Master only (1),,1,,.36100945,,,,.53500003,.0014189611,0,.0014189616,1
NY,5,18662,6079429,.0030696993,.0040817154,Matched (3),,1,,.36100945,,,,.53500003,.0045491583,0,.0045491597,1
NY,5.5,48540,6079429,.0079843113,0,Master only (1),,1,,.36100945,,,,.53500003,.011832396,0,.011832399,1
NY,6,102791,6079429,.01690802,.012349045,Matched (3),,1,,.36100945,,,,.53500003,.025056938,0,.025056945,1
NY,6.5,186901,6079429,.030743215,0,Master only (1),,1,,.36100945,,,,.53500003,.045560084,0,.045560099,1
NY,7,294070,6079429,.048371367,.11165817,Matched (3),,1,,.36100945,,,,.53500003,.071684226,0,.071684249,1
NY,7.5,414037,6079429,.068104655,0,Master only (1),,1,,.36100945,,,,.53500003,.10092808,0,.10092811,1
NY,8,520999,6079429,.085698761,.1746496,Matched (3),,1,,.36100945,,,,.53500003,.12700178,0,.12700182,1
NY,8.5,601242,6079429,.098897874,0,Master only (1),.53500003,1,,.36100945,,,,.53500003,.14656228,0,.14656232,1
NY,9,637843,6079429,.10491835,.24128653,Matched (3),,,1,,.63899058,,,.53500003,0,.076350152,.076350175,1
NY,9.5,631268,6079429,.10383683,0,Master only (1),,,1,,.63899058,,,.53500003,0,.075563118,.07556314,1
NY,10,582390,6079429,.09579692,.1974003,Matched (3),,,1,,.63899058,,,.53500003,0,.0697124,.069712423,1
NY,10.5,507601,6079429,.083494931,0,Master only (1),,,1,,.63899058,,,.53500003,0,.060760114,.060760133,1
NY,11,419338,6079429,.068976611,.11404955,Matched (3),,,1,,.63899058,,,.53500003,0,.050194986,.050195001,1
NY,11.5,330675,6079429,.054392498,0,Master only (1),,,1,,.63899058,,,.53500003,0,.039581977,.039581988,1
NY,12,248197,6079429,.040825751,.062786415,Matched (3),,,1,,.63899058,,,.53500003,0,.029709315,.029709324,1
NY,12.5,179709,6079429,.029560206,0,Master only (1),,,1,,.63899058,,,.53500003,0,.021511264,.02151127,1
NY,13,124503,6079429,.020479411,.043954074,Matched (3),,,1,,.63899058,,,.53500003,0,.014903077,.014903082,1
NY,13.5,83854,6079429,.013793086,0,Master only (1),,,1,,.63899058,,,.53500003,0,.010037369,.010037372,1
NY,14,54522,6079429,.0089682862,.01906986,Matched (3),,,1,,.63899058,,,.53500003,0,.0065263137,.0065263156,1
NY,14.5,34456,6079429,.0056676432,0,Master only (1),,,1,,.63899058,,,.53500003,0,.0041244016,.004124403,1
NY,15,21241,6079429,.0034939172,.0063710422,Matched (3),,,1,,.63899058,,,.53500003,0,.0025425593,.00254256,1
NY,15.5,12660,6079429,.0020824345,0,Master only (1),,,1,,.63899058,,,.53500003,0,.0015154089,.0015154093,1
NY,16,7318,6079429,.0012037327,.0049996609,Matched (3),,,1,,.63899058,,,.53500003,0,.00087596854,.00087596878,1
NY,16.5,4071,6079429,.00066963595,0,Master only (1),,,1,,.63899058,,,.53500003,0,.00048730092,.00048730106,1
NY,17,2363,6079429,.00038868823,.0027762544,Matched (3),,,1,,.63899058,,,.53500003,0,.00028285239,.00028285247,1
NY,17.5,1313,6079429,.00021597445,0,Master only (1),,,1,,.63899058,,,.53500003,0,.00015716681,.00015716685,1
NY,18,672,6079429,.00011053681,.00054087414,Matched (3),,,1,,.63899058,,,.53500003,0,.00008043876,.000080438782,1
NY,18.5,345,6079429,.00005674881,0,Master only (1),,,1,,.63899058,,,.53500003,0,.000041296687,.000041296698,1
NY,19,186,6079429,.000030595013,.0011296294,Matched (3),,,1,,.63899058,,,.53500003,0,.000022264303,.00002226431,1
NY,19.5,92,6079429,.000015133016,0,Master only (1),,,1,,.63899058,,,.53500003,0,.00001101245,.000011012454,1
NY,20,44,6079429,7.2375292e-06,.00051245774,Matched (3),,,1,,.63899058,,,.53500003,0,5.2668238e-06,5.2668252e-06,1
NY,20.5,19,6079429,3.1252966e-06,0,Master only (1),,,1,,.63899058,,,.53500003,0,2.2743102e-06,2.2743109e-06,1
NY,21,14,6079429,2.3028501e-06,.000062757186,Matched (3),,,1,,.63899058,,,.53500003,0,1.6758075e-06,1.6758080e-06,1
RI,2.5,4,6079429,6.5795723e-07,0,Master only (1),,1,,.36100945,,1,6.5795723e-07,.59500003,6.5795723e-07,0,6.5795757e-07,1
RI,3,23,6079429,3.7832540e-06,.00062757189,Matched (3),,1,,.36100945,,,,.59500003,6.2353943e-06,0,6.2353974e-06,1
RI,3.5,239,6079429,.000039312941,0,Master only (1),,1,,.36100945,,,,.59500003,.000064793872,0,.000064793901,1
RI,4,1400,6079429,.00023028502,.0016316868,Matched (3),,1,,.36100945,,,,.59500003,.00037954573,0,.00037954591,1
RI,4.5,5821,6079429,.00095749222,0,Master only (1),,1,,.36100945,,,,.59500003,.0015780969,0,.0015780976,1
RI,5,18662,6079429,.0030696993,.0040817154,Matched (3),,1,,.36100945,,,,.59500003,.0050593447,0,.005059347,1
RI,5.5,48540,6079429,.0079843113,0,Master only (1),,1,,.36100945,,,,.59500003,.013159393,0,.0131594,1
RI,6,102791,6079429,.01690802,.012349045,Matched (3),,1,,.36100945,,,,.59500003,.02786706,0,.027867073,1
RI,6.5,186901,6079429,.030743215,0,Master only (1),,1,,.36100945,,,,.59500003,.050669625,0,.050669648,1
RI,7,294070,6079429,.048371367,.11165817,Matched (3),,1,,.36100945,,,,.59500003,.079723574,0,.079723611,1
RI,7.5,414037,6079429,.068104655,0,Master only (1),,1,,.36100945,,,,.59500003,.11224712,0,.11224718,1
RI,8,520999,6079429,.085698761,.1746496,Matched (3),,1,,.36100945,,,,.59500003,.14124496,0,.14124504,1
RI,8.5,601242,6079429,.098897874,0,Master only (1),.59500003,1,,.36100945,,,,.59500003,.16299917,0,.16299924,1
RI,9,637843,6079429,.10491835,.24128653,Matched (3),,,1,,.63899058,,,.59500003,0,.066498518,.066498548,1
RI,9.5,631268,6079429,.10383683,0,Master only (1),,,1,,.63899058,,,.59500003,0,.065813042,.065813072,1
RI,10,582390,6079429,.09579692,.1974003,Matched (3),,,1,,.63899058,,,.59500003,0,.060717247,.060717277,1
RI,10.5,507601,6079429,.083494931,0,Master only (1),,,1,,.63899058,,,.59500003,0,.052920099,.052920125,1
RI,11,419338,6079429,.068976611,.11404955,Matched (3),,,1,,.63899058,,,.59500003,0,.043718211,.043718234,1
