state,fitted_length,nfish,sumnfish,fitted_prob,observed_prob,_merge,p_star,below,above,sum_below,sum_above,first,cdf_star,pstar_all,prob_below_adj,prob_above_adj,prob_star,sum_prob_f
CT,28,1360,10876481,.00012504116,.00030188361,Matched (3),,,1,,.16236328,,,.89999998,0,.000077013225,.000077013268,1
CT,28.5,895,10876481,.000082288119,0,Master only (1),,,1,,.16236328,,,.89999998,0,.000050681498,.000050681523,1
CT,29,562,10876481,.000051671417,.00038327338,Matched (3),,,1,,.16236328,,,.89999998,0,.00003182458,.000031824598,1
CT,29.5,372,10876481,.000034202436,0,Master only (1),,,1,,.16236328,,,.89999998,0,.000021065382,.000021065393,1
CT,30,247,10876481,.000022709681,.00015073804,Matched (3),,,1,,.16236328,,,.89999998,0,.00001398696,.000013986967,1
CT,30.5,147,10876481,.000013515478,0,Master only (1),,,1,,.16236328,,,.89999998,0,8.3242230e-06,8.3242276e-06,1
CT,31,80,10876481,7.3553624e-06,0,Master only (1),,,1,,.16236328,,,.89999998,0,4.5301895e-06,4.5301917e-06,1
CT,31.5,46,10876481,4.2293332e-06,0,Master only (1),,,1,,.16236328,,,.89999998,0,2.6048588e-06,2.6048601e-06,1
CT,32,40,10876481,3.6776812e-06,1.3715961e-06,Matched (3),,,1,,.16236328,,,.89999998,0,2.2650947e-06,2.2650959e-06,1
DE,5,15,19885312,7.5432570e-07,.00054436398,Matched (3),,1,,.74851817,,1,7.5432570e-07,.72500002,7.5432570e-07,0,7.5432570e-07,1
DE,5.5,112,19885312,5.6322988e-06,0,Master only (1),,1,,.74851817,,,,.72500002,5.4553343e-06,0,5.4553343e-06,1
DE,6,431,19885312,.000021674292,.0002177456,Matched (3),,1,,.74851817,,,,.72500002,.000020993295,0,.000020993295,1
DE,6.5,1560,19885312,.000078449877,0,Master only (1),,1,,.74851817,,,,.72500002,.000075985015,0,.000075985015,1
DE,7,4956,19885312,.00024922923,.00097985507,Matched (3),,1,,.74851817,,,,.72500002,.00024139855,0,.00024139855,1
DE,7.5,12841,19885312,.00064575311,0,Master only (1),,1,,.74851817,,,,.72500002,.00062546378,0,.00062546378,1
DE,8,30229,19885312,.0015201675,.0026129473,Matched (3),,1,,.74851817,,,,.72500002,.0014724043,0,.0014724043,1
DE,8.5,62585,19885312,.0031472982,0,Master only (1),,1,,.74851817,,,,.72500002,.0030484113,0,.0030484113,1
DE,9,118721,19885312,.0059702871,.0070767323,Matched (3),,1,,.74851817,,,,.72500002,.0057827029,0,.0057827029,1
DE,9.5,202948,19885312,.010205926,0,Master only (1),,1,,.74851817,,,,.72500002,.0098852599,0,.0098852599,1
DE,10,323109,19885312,.01624863,.0296134,Matched (3),,1,,.74851817,,,,.72500002,.015738105,0,.015738105,1
DE,10.5,478366,19885312,.024056252,0,Master only (1),,1,,.74851817,,,,.72500002,.023300415,0,.023300415,1
DE,11,661518,19885312,.033266671,.071742482,Matched (3),,1,,.74851817,,,,.72500002,.032221444,0,.032221444,1
DE,11.5,859435,19885312,.043219596,0,Master only (1),,1,,.74851817,,,,.72500002,.041861653,0,.041861653,1
DE,12,1057432,19885312,.053176548,.11444351,Matched (3),,1,,.74851817,,,,.72500002,.051505763,0,.051505763,1
DE,12.5,1237953,19885312,.062254652,0,Master only (1),,1,,.74851817,,,,.72500002,.060298637,0,.060298637,1
DE,13,1382145,19885312,.069505841,.12945186,Matched (3),,1,,.74851817,,,,.72500002,.067321993,0,.067321993,1
DE,13.5,1479223,19885312,.074387737,0,Master only (1),,1,,.74851817,,,,.72500002,.072050504,0,.072050504,1
DE,14,1519619,19885312,.076419182,.15017377,Matched (3),,1,,.74851817,,,,.72500002,.074018121,0,.074018121,1
DE,14.5,1502063,19885312,.075536318,0,Master only (1),,1,,.74851817,,,,.72500002,.073162995,0,.073162995,1
DE,15,1434232,19885312,.072125211,.14704794,Matched (3),,1,,.74851817,,,,.72500002,.069859065,0,.069859065,1
DE,15.5,1326502,19885312,.066707641,0,Master only (1),,1,,.74851817,,,,.72500002,.064611711,0,.064611711,1
DE,16,1188519,19885312,.059768699,.12259785,Matched (3),.72500002,1,,.74851817,,,,.72500002,.057890791,0,.057890791,1
DE,16.5,1038281,19885312,.052213475,0,Master only (1),,,1,,.25148189,,,.72500002,0,.057096377,.057096377,1
DE,17,879338,19885312,.044220485,.10297602,Matched (3),,,1,,.25148189,,,.72500002,0,.048355896,.048355896,1
DE,17.5,726119,19885312,.036515351,0,Master only (1),,,1,,.25148189,,,.72500002,0,.039930195,.039930195,1
