length,state,mode,fitted_prob,draw
17,MA,fh,.021236092,2
17.5,MA,fh,.017647984,2
18,MA,fh,.014584603,2
18.5,MA,fh,.011941524,2
19,MA,fh,.0097055594,2
19.5,MA,fh,.0077601117,2
20,MA,fh,.0062086321,2
20.5,MA,fh,.0049170181,2
21,MA,fh,.0038658695,2
21.5,MA,fh,.0030134267,2
22,MA,fh,.0023594473,2
22.5,MA,fh,.001794951,2
23,MA,fh,.0013849773,2
23.5,MA,fh,.0010599276,2
24,MA,fh,.00081019913,2
24.5,MA,fh,.00060479995,2
1.5,MA,pr,1.2041005e-07,2
2,MA,pr,1.4850571e-06,2
2.5,MA,pr,9.7130760e-06,2
3,MA,pr,.000048164016,2
3.5,MA,pr,.00018282256,2
4,MA,pr,.0005258306,2
4.5,MA,pr,.0012462037,2
5,MA,pr,.0025360361,2
5.5,MA,pr,.0046598678,2
6,MA,pr,.0078012063,2
6.5,MA,pr,.011890852,2
7,MA,pr,.016984878,2
7.5,MA,pr,.022817621,2
8,MA,pr,.02907493,2
8.5,MA,pr,.035315864,2
9,MA,pr,.041216396,2
9.5,MA,pr,.046455875,2
10,MA,pr,.050481066,2
10.5,MA,pr,.053336389,2
11,MA,pr,.054763246,2
11.5,MA,pr,.055014662,2
12,MA,pr,.053928159,2
12.5,MA,pr,.051705394,2
13,MA,pr,.048692815,2
13.5,MA,pr,.045051657,2
14,MA,pr,.041038107,2
14.5,MA,pr,.036829215,2
15,MA,pr,.032561079,2
15.5,MA,pr,.02840505,2
16,MA,pr,.041098971,2
16.5,MA,pr,.035047598,2
17,MA,pr,.029501492,2
17.5,MA,pr,.024516838,2
18,MA,pr,.020261144,2
18.5,MA,pr,.016589342,2
19,MA,pr,.013483106,2
19.5,MA,pr,.010780462,2
20,MA,pr,.0086251236,2
20.5,MA,pr,.0068307943,2
21,MA,pr,.0053705228,2
21.5,MA,pr,.0041862968,2
22,MA,pr,.0032777789,2
22.5,MA,pr,.0024935724,2
23,MA,pr,.0019240308,2
23.5,MA,pr,.0014724671,2
24,MA,pr,.0011255406,2
24.5,MA,pr,.00084019697,2
1.5,MA,sh,1.5585553e-07,2
2,MA,sh,1.9222180e-06,2
2.5,MA,sh,.000012572345,2
3,MA,sh,.000062342209,2
3.5,MA,sh,.00023664063,2
4,MA,sh,.00068062101,2
4.5,MA,sh,.0016130527,2
5,MA,sh,.003282577,2
5.5,MA,sh,.0060316082,2
6,MA,sh,.010097672,2
6.5,MA,sh,.0153912,2
7,MA,sh,.021984771,2
7.5,MA,sh,.029534517,2
8,MA,sh,.03763381,2
8.5,MA,sh,.045711905,2
9,MA,sh,.053349398,2
9.5,MA,sh,.060131241,2
10,MA,sh,.065341339,2
10.5,MA,sh,.069037192,2
11,MA,sh,.070884079,2
11.5,MA,sh,.071209505,2
12,MA,sh,.069803163,2
12.5,MA,sh,.066926077,2
13,MA,sh,.063026674,2
13.5,MA,sh,.058313657,2
14,MA,sh,.053118628,2
14.5,MA,sh,.047670748,2
15,MA,sh,.042146187,2
15.5,MA,sh,.036766734,2
16,MA,sh,0,2
16.5,MA,sh,0,2
17,MA,sh,0,2
17.5,MA,sh,0,2
18,MA,sh,0,2
18.5,MA,sh,0,2
19,MA,sh,0,2
19.5,MA,sh,0,2
20,MA,sh,0,2
20.5,MA,sh,0,2
21,MA,sh,0,2
21.5,MA,sh,0,2
22,MA,sh,0,2
22.5,MA,sh,0,2
23,MA,sh,0,2
23.5,MA,sh,0,2
24,MA,sh,0,2
24.5,MA,sh,0,2
1.5,MA,fh,1.2722366e-07,3
2,MA,fh,1.5690915e-06,3
2.5,MA,fh,.000010262708,3
3,MA,fh,.000050889459,3
3.5,MA,fh,.0001931679,3
4,MA,fh,.00055558566,3
4.5,MA,fh,.0013167224,3
