iteration_2024,length,draw,n_fish_population_2024,state,mode,fitted_prob
17,18,4,294067.59375,CT,fh,.00017163054
17,18.5,4,294067.59375,CT,fh,.000089462636
17,19,4,294067.59375,CT,fh,.000042893047
18,4,5,25359034.8984375,CT,fh,.000010320587
18,4.5,5,28264442.12304688,CT,fh,.000074901007
18,5,5,30989355.73437625,CT,fh,.00035573609
18,5.5,5,32043319.20703125,CT,fh,.0012568767
18,6,5,30496893.62892226,CT,fh,.0035987531
18,6.5,5,27890636.04980469,CT,fh,.0086320275
18,7,5,26868271.50390625,CT,fh,.017455216
18,7.5,5,26289404.609375,CT,fh,.030118002
18,8,5,25500071.578125,CT,fh,.045121979
18,8.5,5,25629116.43751609,CT,fh,.059216704
18,9,5,26916993.4375,CT,fh,.069349989
18,9.5,5,27599440.171875,CT,fh,.073894784
18,10,5,28391944.31640625,CT,fh,.13468878
18,10.5,5,31874105.71533203,CT,fh,.12334256
18,11,5,36557160.26562524,CT,fh,.1078303
18,11.5,5,39256681.890625,CT,fh,.08970876
18,12,5,39388556.921875,CT,fh,.070944369
18,12.5,5,38462273.21813965,CT,fh,.05355373
18,13,5,34867794.81933622,CT,fh,.038587887
18,13.5,5,27550704.375,CT,fh,.026698129
18,14,5,18533888.53125037,CT,fh,.017731491
18,14.5,5,11570754.03516049,CT,fh,.011333677
18,15,5,6857072.522460938,CT,fh,.0070075109
18,15.5,5,3620599.662110794,CT,fh,.0041772006
18,16,5,1649804.869140625,CT,fh,.0024237023
18,16.5,5,921409.9946289063,CT,fh,.0013685835
18,17,5,702473.0000005318,CT,fh,.00074778555
18,17.5,5,557643.5,CT,fh,.00040037872
18,18,5,519145.625,CT,fh,.00020883459
18,18.5,5,519145.625,CT,fh,.0001088553
18,19,5,519145.625,CT,fh,.000052190899
30,4,6,23313948.28442383,CT,fh,.000012282905
30,4.5,6,25599064.52539063,CT,fh,.00008843968
30,5,6,27857633.95312601,CT,fh,.00041951143
30,5.5,6,28907687.52685547,CT,fh,.0014923706
30,6,6,27928203.35548079,CT,fh,.0043367851
30,6.5,6,26309418.74316406,CT,fh,.010632157
30,7,6,26375830.625,CT,fh,.021894621
30,7.5,6,26676574.6015625,CT,fh,.037880573
30,8,6,26245189.640625,CT,fh,.055540863
30,8.5,6,25956158.62501597,CT,fh,.069258437
30,9,6,26185582.265625,CT,fh,.076329663
30,9.5,6,25560870.90625,CT,fh,.076635413
30,10,6,24833295.30273438,CT,fh,.1314815
30,10.5,6,26448792.20928955,CT,fh,.11478487
30,11,6,29564382.87500018,CT,fh,.098590225
30,11.5,6,31464000.96875,CT,fh,.081912644
30,12,6,31504771.75195313,CT,fh,.065088965
30,12.5,6,30829918.54370117,CT,fh,.049503546
30,13,6,28048915.18457065,CT,fh,.035934269
30,13.5,6,22246606.74536133,CT,fh,.0250303
30,14,6,15024463.79785197,CT,fh,.016732456
30,14.5,6,9405386.191409694,CT,fh,.010741
30,15,6,5582511.354492188,CT,fh,.0066551575
30,15.5,6,2950307.937501052,CT,fh,.0039717173
30,16,6,1344518.431640625,CT,fh,.0023047533
30,16.5,6,751350.6973876953,CT,fh,.0013022603
30,17,6,573078.0625003558,CT,fh,.00071189756
30,17.5,6,454926.03125,CT,fh,.0003811637
30,18,6,423519.40625,CT,fh,.00019881214
30,18.5,6,423519.40625,CT,fh,.00010363109
30,19,6,423519.40625,CT,fh,.000049686139
35,4,7,13215086.18041992,CT,fh,9.0964595e-06
35,4.5,7,16767256.63476563,CT,fh,.000075257434
35,5,7,20945952.12500167,CT,fh,.00040748608
35,5.5,7,24036540.046875,CT,fh,.001596342
35,6,7,25100920.73047884,CT,fh,.0049980436
35,6.5,7,25009167.05810547,CT,fh,.012924243
35,7,7,25216531.63085938,CT,fh,.026733894
35,7.5,7,24668953.59375,CT,fh,.044707194
35,8,7,23128908.85351563,CT,fh,.062277798
35,8.5,7,21937844.9062546,CT,fh,.0739237
35,9,7,21854420.875,CT,fh,.0797216
35,9.5,7,21375698.5625,CT,fh,.079543673
35,10,7,20640236.77734375,CT,fh,.13472699
35,10.5,7,21394698.38806152,CT,fh,.11407694
35,11,7,23092080.09375025,CT,fh,.094618052
35,11.5,7,23781437.671875,CT,fh,.076178104
35,12,7,23125303.47851563,CT,fh,.058894344
35,12.5,7,22148969.56103516,CT,fh,.043924913
35,13,7,19877578.01074248,CT,fh,.031504914
35,13.5,7,15629270.71166992,CT,fh,.021788558
35,14,7,10491636.45312525,CT,fh,.014499234
35,14.5,7,6550357.750005661,CT,fh,.0092919953
35,15,7,3888218.352050781,CT,fh,.0057604229
35,15.5,7,2055553.258790116,CT,fh,.0034395957
35,16,7,936842.8051757813,CT,fh,.0019961749
35,16.5,7,523782.1744995117,CT,fh,.0011285371
35,17,7,399650.0937502039,CT,fh,.00061719312
35,17.5,7,317253.84375,CT,fh,.00033045706
35,18,7,295351.6875,CT,fh,.00017236396
35,18.5,7,295351.6875,CT,fh,.000089844936
35,19,7,295351.6875,CT,fh,.000043076339
40,4,8,20702582.6394043,CT,fh,.000012556889
40,4.5,8,23450532.50195313,CT,fh,.000093149043
40,5,8,26193164.03125216,CT,fh,.00045401414
40,5.5,8,27553460.41210938,CT,fh,.0016439582
40,6,8,26721138.83594606,CT,fh,.0048340755
40,6.5,8,25064724.32910156,CT,fh,.011969824
40,7,8,24813273.41015625,CT,fh,.024782132
40,7.5,8,24750689.6875,CT,fh,.042842027
40,8,8,24166541.4296875,CT,fh,.06237844
40,8.5,8,23973255.18751245,CT,fh,.076738112
40,9,8,24485669.96875,CT,fh,.083562694
40,9.5,8,24161772.796875,CT,fh,.082745969
40,10,8,23350283.93066406,CT,fh,.13758071
40,10.5,8,24116190.3394165,CT,fh,.11386324
40,11,8,25947680.84375022,CT,fh,.093052283
40,11.5,8,26719495.73046875,CT,fh,.074418657
40,12,8,26062772.36425781,CT,fh,.057470042
40,12.5,8,25065245.46069336,CT,fh,.042944711
40,13,8,22546548.65332057,CT,fh,.030844267
40,13.5,8,17732467.6081543,CT,fh,.021329483
40,14,8,11888461.50000035,CT,fh,.014174717
40,14.5,8,7408540.238288606,CT,fh,.0090679303
40,15,8,4386081.716796875,CT,fh,.0056081652
40,15.5,8,2313818.228516179,CT,fh,.0033422224
40,16,8,1054169.403808594,CT,fh,.0019390292
40,16.5,8,588230.7232666016,CT,fh,.0010942933
40,17,8,448159.6875004309,CT,fh,.00059766124
40,17.5,8,355762.1875,CT,fh,.00031999932
40,18,8,331201.53125,CT,fh,.0001669093
40,18.5,8,331201.53125,CT,fh,.000087001688
40,19,8,331201.53125,CT,fh,.000041713138
48,4,9,24437814.15002441,CT,fh,.00001192896
48,4.5,9,27433983.49023438,CT,fh,.000087010463
48,5,9,30740510.04687627,CT,fh,.00042109654
48,5.5,9,32821900.34375,CT,fh,.0015312922
48,6,9,32615339.02735991,CT,fh,.004557997
48,6.5,9,31494905.125,CT,fh,.011445437
48,7,9,31846926.47265625,CT,fh,.023906512
48,7.5,9,32009801.71875,CT,fh,.041457817
48,8,9,31079033.9609375,CT,fh,.060294852
48,8.5,9,30318976.31251585,CT,fh,.073873848
48,9,9,30382001.3125,CT,fh,.079990543
48,9.5,9,29665978.3515625,CT,fh,.079333171
48,10,9,28908436.24414063,CT,fh,.13156404
48,10.5,9,30714826.16308594,CT,fh,.1133902
48,11,9,34007775.50000021,CT,fh,.096032865
48,11.5,9,35738965.3125,CT,fh,.078683943
48,12,9,35291646.8046875,CT,fh,.061660469
48,12.5,9,34085483.89013672,CT,fh,.046318218
48,13,9,30675618.95312545,CT,fh,.033288836
48,13.5,9,24103668.66564941,CT,fh,.022992002
48,14,9,16136419.24023475,CT,fh,.015248761
48,14.5,9,10044609.83203556,CT,fh,.0097391019
48,15,9,5946036.999511719,CT,fh,.006020104
48,15.5,9,3138016.265626591,CT,fh,.0035882948
48,16,9,1429861.83203125,CT,fh,.0020820068
48,16.5,9,798441.6862792969,CT,fh,.0011756406
48,17,9,608647.3750004838,CT,fh,.00064236345
48,17.5,9,483161.96875,CT,fh,.00034393376
48,18,9,449806.03125,CT,fh,.00017939329
48,18.5,9,449806.03125,CT,fh,.000093508985
