cv_i,cv_i_NJ,cv_i_boat_NJ,cv_i_shore_NJ,cv_sum,cv_sum_shore,cv_sum_boat,cv_sum_NJ,cv_sum_shore_NJ,cv_sum_boat_NJ,sf_keep_i,sf_keep_i_boat,sf_keep_i_shore,sf_keep_i_NJ,sf_keep_i_boat_NJ,sf_keep_i_shore_NJ,sf_keep_sum,sf_keep_sum_boat,sf_keep_i_shore,sf_keep_sum_NJ,sf_keep_sum_boat_NJ,sf_keep_sum_shore_NJ,bsb_keep_i,bsb_keep_i_boat,bsb_keep_i_shore,bsb_keep_i_NJ,bsb_keep_i_boat_NJ,bsb_keep_i_shore_NJ,bsb_keep_sum,bsb_keep_sum_boat,bsb_keep_i_shore,bsb_keep_sum_NJ,bsb_keep_sum_boat_NJ,bsb_keep_sum_shore_NJ,ntrips_sum,ntrips_sum_boat,ntrips_sum_shore,ntrips_sum_NJ,ntrips_sum_boat_NJ,ntrips_sum_shore_NJ,seed_NJ,calib_sf_keep_sum_NJ,calib_sf_rel_sum_NJ,calib_bsb_keep_sum_NJ,calib_bsb_rel_sum_NJ,n_choice_occasions_NJ,n_choice_occasions_sum,draw
-0.30180693953588145,-0.30180693953588145,-0.27662873647971326,-0.32838404542239974,-2872222.5988892997,-1520340.0934108496,-1351882.50547845,-2872222.5988892997,-1520340.0934108496,-1351882.50547845,0.20919488680936188,0.30666532651726774,0.10630898223771326,0.20919488680936188,0.30666532651726774,0.10630898223771326,1990856.414335375,1498671.089747518,0.10630898223771326,1990856.414335375,1498671.089747518,492185.32458785677,0.028897080687947014,0.027111615061787206,0.030781746916800985,0.028897080687947014,0.027111615061787206,0.030781746916800985,275006.4273587763,132494.25408117007,0.030781746916800985,275006.4273587763,132494.25408117007,142512.1732776062,6568392.917525032,3266150.9491976467,3302241.968327385,6568392.917525032,3266150.9491976467,3302241.968327385,32190,1986882.8694763093,17395607.12636453,268646.20826154883,3007758.2705976195,9516754.662123416,9516754.662123416,1
0.0012645892184906403,0.0012645892184906403,0.07874205896082087,-0.08072763558891266,12056.0335830729,-373916.3655063189,385972.3990893918,12056.0335830729,-373916.3655063189,385972.3990893918,0.20903151488886015,0.30784667195571147,0.1044582163602749,0.20903151488886015,0.30784667195571147,0.1044582163602749,1992813.8929007903,1508981.6051870263,0.1044582163602749,1992813.8929007903,1508981.6051870263,483832.2877137641,0.028627090351443764,0.026966747207276136,0.030384184753039147,0.028627090351443764,0.026966747207276136,0.030384184753039147,272918.00184300134,132183.7433843122,0.030384184753039147,272918.00184300134,132183.7433843122,140734.25845868918,6563774.064011045,3263138.518467396,3300635.545543649,6563774.064011045,3263138.518467396,3300635.545543649,32190,1988017.5271677722,17365081.59885729,268740.05536709575,2982842.667982701,9533557.147879582,9533557.147879582,2
-0.22516261204577306,-0.22516261204577306,-0.39139258258648657,-0.05149956068814636,-2146233.29656035,-240077.3860401242,-1906155.9105202258,-2146233.29656035,-240077.3860401242,-1906155.9105202258,0.20861357897240537,0.3073528723109442,0.10545909416867583,0.20861357897240537,0.3073528723109442,0.10545909416867583,1988489.142301206,1496866.6250628694,0.10545909416867583,1988489.142301206,1496866.6250628694,491622.5172383366,0.02805469222349504,0.02723731783238988,0.028908616039995602,0.02805469222349504,0.02723731783238988,0.028908616039995602,267415.24282271764,132650.88988101963,0.028908616039995602,267415.24282271764,132650.88988101963,134764.352941698,6566137.671278632,3265665.0522268983,3300472.619051734,6566137.671278632,3265665.0522268983,3300472.619051734,32190,1982167.031927914,17339216.00975066,270727.5577235362,3005176.0517770685,9531925.736072224,9531925.736072224,3
0.15810736397702388,0.15810736397702388,0.11131234652149069,0.20813039569063133,1508293.2730954986,959649.1699955332,548644.1030999653,1508293.2730954986,959649.1699955332,548644.1030999653,0.20707665991484348,0.3038052407990296,0.10367554731178052,0.20707665991484348,0.3038052407990296,0.10367554731178052,1975444.5669591376,1497416.5855273928,0.10367554731178052,1975444.5669591376,1497416.5855273928,478027.9814317448,0.028068636412750265,0.02705931705011123,0.029147580651513034,0.028068636412750265,0.02705931705011123,0.029147580651513034,267765.7410850693,133371.86033168045,0.029147580651513034,267765.7410850693,133371.86033168045,134393.88075338886,6562428.939413996,3263186.3964315658,3299242.5429824307,6562428.939413996,3263186.3964315658,3299242.5429824307,32190,1983356.134724847,17316087.245989095,270556.68717493117,3001867.8075062716,9539677.565648893,9539677.565648893,4
0.11342648972550079,0.11342648972550079,-0.015109238163415214,0.24777199976017075,1092287.137474965,1166645.267544875,-74358.13006990994,1092287.137474965,1166645.267544875,-74358.13006990994,0.2061680166462002,0.3042442558634924,0.10365875640910432,0.2061680166462002,0.3042442558634924,0.10365875640910432,1985379.899231248,1497298.1235611772,0.10365875640910432,1985379.899231248,1497298.1235611772,488081.77567007096,0.027790381140322343,0.02686287985712702,0.028759805245162466,0.027790381140322343,0.02686287985712702,0.028759805245162466,267618.9304505688,132202.1330834007,0.028759805245162466,267618.9304505688,132202.1330834007,135416.7973671681,6563787.936837461,3265607.350003158,3298180.586834303,6563787.936837461,3265607.350003158,3298180.586834303,32190,1985943.466039503,17313290.774812464,270602.9470273686,3015535.8422152298,9629912.202329177,9629912.202329177,5
0.11340983113325236,0.11340983113325236,0.18103904729191536,0.04207548555380442,1076488.682174154,194366.45682965062,882122.2253445035,1076488.682174154,194366.45682965062,882122.2253445035,0.20833054643235466,0.30563831565921573,0.10569168068963937,0.20833054643235466,0.30563831565921573,0.10569168068963937,1977478.2586712718,1489238.6763675439,0.10569168068963937,1977478.2586712718,1489238.6763675439,488239.5823037279,0.028042876385639154,0.02666297155156816,0.029498380587690456,0.028042876385639154,0.02666297155156816,0.029498380587690456,266183.6169148317,129916.72322182413,0.029498380587690456,266183.6169148317,129916.72322182413,136266.89369300753,6562958.0064839125,3263349.6629789895,3299608.343504923,6562958.0064839125,3263349.6629789895,3299608.343504923,32190,1976099.6753347681,17205637.81249223,268245.0698406147,2992616.0903159673,9492022.617592296,9492022.617592296,6
0.017916765498149682,0.017916765498149682,0.09293397269387846,-0.06174111429670386,170969.26129596066,-285741.5603448377,456710.8216407984,170969.26129596066,-285741.5603448377,456710.8216407984,0.2088113467149067,0.3061102161230519,0.1054934289568263,0.2088113467149067,0.3061102161230519,0.1054934289568263,1992565.1034361753,1504335.2206486515,0.1054934289568263,1992565.1034361753,1504335.2206486515,488229.8827875238,0.028217829044456303,0.026839277448318488,0.029681659829967098,0.028217829044456303,0.026839277448318488,0.029681659829967098,269266.31302980584,131897.82057465307,0.029681659829967098,269266.31302980584,131897.82057465307,137368.49245515277,6568601.81416564,3266733.7472433024,3301868.0669223373,6568601.81416564,3266733.7472433024,3301868.0669223373,32190,1975514.9099288993,17281252.16217389,277978.06117309566,3053236.055926296,9542417.760260198,9542417.760260198,7
-0.17052327435138093,-0.17052327435138093,-0.320065689970529,-0.015889795792137895,-1635889.7316842917,-74942.51737900915,-1560947.2143052826,-1635889.7316842917,-74942.51737900915,-1560947.2143052826,0.20625757171547393,0.30660681935900774,0.10249200681085271,0.20625757171547393,0.30660681935900774,0.10249200681085271,1978701.411492969,1495308.8555337326,0.10249200681085271,1978701.411492969,1495308.8555337326,483392.5559592363,0.02844337000778774,0.02664879227917605,0.03029904283192421,0.02844337000778774,0.02664879227917605,0.03029904283192421,272867.2499822902,129965.06459848971,0.03029904283192421,272867.2499822902,129965.06459848971,142902.1853838005,6564369.999610271,3264891.2009950895,3299478.798615182,6564369.999610271,3264891.2009950895,3299478.798615182,32190,1988573.3631022284,17273951.718411844,268549.5685739496,3016424.6880364288,9593351.628431497,9593351.628431497,8
-0.05779558177854613,-0.05779558177854613,-0.3682963765295625,0.26462320269108874,-551794.1559079103,1239437.304950841,-1791231.4608587513,-551794.1559079103,1239437.304950841,-1791231.4608587513,0.20858527893683287,0.3092923636723137,0.10401274193598195,0.20858527893683287,0.3092923636723137,0.10401274193598195,1991434.8879950147,1504261.9143681556,0.10401274193598195,1991434.8879950147,1504261.9143681556,487172.9736268592,0.028365491933891415,0.027877423865635395,0.028872293578092446,0.028365491933891415,0.027877423865635395,0.028872293578092446,270815.03805165057,135583.51875832948,0.028872293578092446,270815.03805165057,135583.51875832948,135231.51929332106,6563587.851008609,3265560.3415143313,3298027.509494278,6563587.851008609,3265560.3415143313,3298027.509494278,32190,1961401.6954039684,17254924.904886052,270625.7870259708,2986625.9040140174,9547341.490950055,9547341.490950055,9
-0.16674474816256207,-0.16674474816256207,0.0842626114144047,-0.43232980513114794,-1593874.553321739,-2007962.4118356875,414087.85851394833,-1593874.553321739,-2007962.4118356875,414087.85851394833,0.20773696177337775,0.30402524953384985,0.10585656100197662,0.20773696177337775,0.30402524953384985,0.10585656100197662,1985709.6598458176,1494057.2384410957,0.10585656100197662,1985709.6598458176,1494057.2384410957,491652.4214047221,0.0286035080400834,0.027314806771439836,0.02996705291950452,0.0286035080400834,0.027314806771439836,0.02996705291950452,273414.33000561973,134231.89302882494,0.02996705291950452,273414.33000561973,134231.89302882494,139182.4369767948,6568706.252130493,3264438.6610101704,3304267.591120322,6568706.252130493,3264438.6610101704,3304267.591120322,32190,1975591.918505733,17259715.622426532,271041.1727856932,3022466.548205849,9558769.141969293,9558769.141969293,10
